audit_case_id,case_id,audit_status,audit_method,source_rebuild_verified,source_record_correct,expected_independent_parse_verified,expected_answer_correct,strict_score_recomputed,strict_score_correct,error_owner,operational_severity,adjudication,audit_date,human_signoff_status,audit_notes
hc-dpd-audit-0087,hc_dpd_5051660932864bfd_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0088,hc_dpd_915c98251ea6d86b_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0089,hc_dpd_f877fe90f1949f74_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0090,hc_dpd_f25c5cc2645bd8c9_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0091,hc_dpd_b19bf6af207cb2ac_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0092,hc_dpd_f128682503428282_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0093,hc_dpd_ba8eacd8df2bdd0b_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0094,hc_dpd_20d98f70f8248f79_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0095,hc_dpd_a993bbc5c100ff08_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0096,hc_dpd_64121586ffa12940_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0097,hc_dpd_a1a45e0e92bf4ca4_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0098,hc_dpd_efb8f057e5adba63_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0099,hc_dpd_b8668141f58737b9_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0100,hc_dpd_515034c2dbcf1d8a_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0101,hc_dpd_3040e785527f7768_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0102,hc_dpd_080df8127c1147b9_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0103,hc_dpd_9601ee1fe49093ee_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0104,hc_dpd_a0a1a012c86f7f9d_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0105,hc_dpd_b5a73de41d84e5ea_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
